paper_ii,suffix,family,ns_max,R0_BNS,R0_BHNS
A,A,fiducial,2.5,54.98422192978718,84.46112445169229
B,B,mt_efficiency,2.5,22.738676557197888,39.12473453708476
C,C,mt_efficiency,2.5,23.974104714517857,19.22350176616741
D,D,mt_efficiency,2.5,71.14246159767272,11.002893220450964
E,E,case_bb,2.5,0.6332801924289526,19.65508798740486
F,EH,case_bb,2.5,69.80444449872594,124.3863009637026
G,alpha0p1,alpha_ce,2.5,45.17645391063583,4.650391966355169
H,F,alpha_ce,2.5,29.255854827970744,38.009618219013994
I,G,alpha_ce,2.5,105.99767199772737,78.11944101450135
J,alpha10,alpha_ce,2.5,94.92341903646802,31.130889140107904
K,H,ce_survival,2.5,74.44443663891019,113.89551202251829
L,I,sn_engine,2.5,47.086028311027356,196.29059532120544
M,J,ns_mass_cap,2.0,53.73604168708342,68.90303330299574
N,K,ns_mass_cap,3.0,56.900355903566506,96.25499150567045
O,L,pisn,2.5,55.487333974346626,86.05899225873782
P,M,sn_kick,2.5,100.06936664104198,232.4134266814923
Q,N,sn_kick,2.5,231.87524617855433,442.17463888595165
R,O,bh_kick,2.5,55.74400077745542,354.8787473729057
S,fWR0p1,wr_winds,2.5,53.316566739238866,100.95909855265904
T,fWR5,wr_winds,2.5,38.41998101028712,18.099128790186803
